A,B,C,D,E,F,G
1.5,0.93,1.0,1.0,1.0,1.0,1.0
1.51,0.95,1.0,1.0,1.0,1.0,1.0
1.52,0.91,1.0,1.0,1.0,1.0,1.0
1.53,0.98,1.0,1.0,1.0,1.0,1.0
1.54,0.91,1.0,1.0,1.0,1.0,1.0
1.55,0.91,1.0,1.0,1.0,1.0,1.0
1.56,0.92,1.0,1.0,1.0,1.0,1.0
1.57,0.93,1.0,1.0,1.0,1.0,1.0
1.58,0.89,1.0,1.0,1.0,1.0,1.0
1.59,0.94,1.0,1.0,1.0,1.0,1.0
1.6,0.92,1.0,1.0,1.0,1.0,1.0
1.61,0.88,1.0,1.0,1.0,1.0,1.0
1.62,0.92,1.0,1.0,1.0,1.0,1.0
1.63,0.92,1.0,1.0,1.0,1.0,1.0
1.64,0.92,1.0,1.0,1.0,1.0,1.0
1.65,0.9,1.0,1.0,1.0,1.0,1.0
1.66,0.85,1.0,1.0,1.0,1.0,1.0
1.67,0.88,1.0,1.0,1.0,1.0,1.0
1.68,0.72,1.0,1.0,1.0,1.0,1.0
1.69,0.86,1.0,1.0,1.0,1.0,1.0
1.7,0.77,1.0,1.0,1.0,1.0,1.0
1.71,0.36,0.0,0.0,0.0,0.0,0.0
1.72,0.33,0.0,0.0,0.0,0.0,0.0
1.73,0.44,0.0,0.0,0.0,0.0,0.0
1.74,0.48,0.0,0.0,0.0,0.0,0.0
1.75,0.53,0.0,0.0,0.0,0.0,0.0
1.76,0.58,0.0,0.0,0.0,0.0,0.0
1.77,0.66,0.0,0.0,0.0,0.0,0.0
1.78,0.75,0.0,0.0,0.0,0.0,0.0
1.79,0.69,0.0,0.0,0.0,0.0,0.0
1.8,0.89,0.0,0.0,0.0,0.0,0.0
1.81,0.89,0.0,0.0,0.0,0.0,0.0
1.82,0.9,0.0,0.0,0.0,0.0,0.0
1.83,0.96,0.0,0.0,0.0,0.0,0.0
1.84,0.94,0.0,0.0,0.0,0.0,0.0
1.85,0.99,0.0,0.0,0.0,0.0,0.0
1.86,1.0,0.0,0.0,0.0,0.0,0.0
1.87,0.95,0.0,0.0,0.0,0.0,0.0
1.88,0.96,0.0,0.0,0.0,0.01,0.0
1.89,0.94,0.0,0.01,0.01,0.01,0.0
1.9,0.98,0.0,0.0,0.01,0.0,0.01
1.91,0.95,0.0,0.04,0.02,0.04,0.0
1.92,0.97,0.0,0.01,0.01,0.01,0.0
1.93,0.94,0.0,0.01,0.03,0.0,0.02
1.94,0.95,0.0,0.03,0.04,0.05,0.03
1.95,0.9,0.0,0.08,0.07,0.05,0.04
1.96,0.97,0.0,0.05,0.08,0.06,0.09
1.97,0.98,0.0,0.06,0.14,0.15,0.08
1.98,0.96,0.0,0.16,0.15,0.17,0.16
1.99,0.95,0.0,0.26,0.18,0.29,0.16
2.0,0.97,0.0,0.31,0.28,0.25,0.31
2.01,0.94,0.0,0.35,0.31,0.32,0.34
2.02,0.94,0.0,0.41,0.38,0.44,0.45
2.03,0.94,0.0,0.51,0.52,0.49,0.54
2.04,0.96,0.0,0.53,0.55,0.57,0.6
2.05,0.97,0.0,0.65,0.67,0.7,0.68
2.06,0.96,0.0,0.79,0.62,0.75,0.64
2.07,0.94,0.0,0.72,0.82,0.81,0.68
2.08,0.94,0.0,0.74,0.81,0.8,0.85
2.09,0.98,0.0,0.84,0.88,0.85,0.86
2.1,0.97,0.0,0.93,0.95,0.92,0.94
2.11,0.97,0.0,0.94,0.94,0.9,0.92
2.12,0.98,0.0,0.95,0.96,0.97,0.99
2.13,0.91,0.0,0.98,0.97,0.99,0.95
2.14,0.98,0.0,0.97,1.0,0.99,0.98
2.15,0.96,0.0,0.97,1.0,1.0,0.99
2.16,0.95,0.0,1.0,1.0,0.99,0.98
